seg,onset_sec,speaker,actor,main_char,section
"taking his hand away from his face,",642.6,narrator,lee,lee,
"""I have a helluva headache all of a sudden. I don't know where I got the, the bloody thing from.",644.1,lee,,lee,
You mind if we cut this short?,650,lee,,lee,
"I'll talk to you in the morning—all right?"" He listened for another moment, then hung up.",651.8,lee,,lee,
"Again the girl immediately spoke to him, but he didn't answer her.",656.3,narrator,"girl, lee",girl,
"He picked a burning cigarette—the girl's—out of the ashtray and started to bring it to his mouth,",661,narrator,lee ,lee ,
but it slipped out of his fingers. ,665.5,narrator,lee,lee,
"The girl tried to help him retrieve it before anything was burned,",667.3,narrator,"girl, lee",girl,
"but he told her to just sit still, for Chrissake,",670.2,narrator,lee,lee,
and she pulled back her hand.,673.5,narrator,girl,girl,
